trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-147.05117486693493,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-50.54306905416831,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",20,10,-10.459564749944825,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-24.948651023850882,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",25,0,-100.13964264459959,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",20,0,-184.5717227993599,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-124.62855940546704,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,0,-37.876824659729635,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-37.09464973961555,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,0,-37.940512951130444,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-140.97598868775466,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,11,-1.8520687878322635,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,0,-114.69029565745434,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,0,-178.81318785409718,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",30,0,-56.220962755475846,"{0: 20, 1: 5, 2: 5, 3: 0, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",35,4,-153.18558664071043,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 3}",1
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",30,21,11.269881128326253,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",25,0,-190.6272586685855,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-147.48110278115217,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,11,-62.26313755829276,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,0,-123.62429730669831,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",25,0,-26.12965564468683,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842925}",35,0,-80.29403479843299,"{0: 25, 1: 4, 2: 5, 3: 0, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490558}",20,0,-67.07746706382244,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-86.9367902078875,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",30,0,-58.3152970003631,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,9.000367424287193,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-61.75711963204865,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",30,0,-68.00729834795042,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",25,5,10.026315844012547,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
